datasetName,datasetUrl,datasetDescr,datasetCategory,update,tags,catUrl,catPage
2015 Food Inspection Closures,https://data.montgomerycountymd.gov/Health-and-Human-Services/2015-Food-Inspection-Closures/6cfv-ur72," The Licensure & Regulatory Services Program inspects all licensed retail food establishments in Montgomery County for a variety of reasons (e.g. obtaining a permit, regular check-ups, or in response to complaints.) Included in this overall surveillance are two types of inspections that are conducted on a routine basis. The first type, a comprehensive inspection, is a thorough inspection that evaluates the sanitation, maintenance, and food service operations for the facility. This inspection includes many of the items found in the monitoring inspection, such as critical temperatures and food handling procedures. The second type, a monitoring inspection, involves checking the food service operation for critical food temperatures, equipment temperatures, and general food handling / cleanliness practices. While monitoring inspections are not as detailed as environmental inspections, they help ensure that the facility is operating safely throughout the year. The frequency of inspections is based on the food-borne illness risks associated with the food being processed at a facility. Based on the risk each facility is designated as high, medium, or low priority. High priority risk facilities prepare food products a day or more in advance or utilize any combination of two or more processes such as a cooking, cooling, reheating and hot holding food over four hours. Moderate priority risk facilities prepare and cook food products which are served immediately or within four hours. A low priority risk facility serve prepackage foods that are not potentially hazardous. For high risk facilities, a monitoring inspection is conducted at least twice a year, and moderate risk facilities are inspected at least once a year. High and moderate risk facilities also receive at least one comprehensive inspection every year. Low risk priority facilities typically receive one comprehensive inspection every two years. (C) Denotes a Critical Violation. A Critical Violation means a food safety requirement that requires immediate correction. Failure for immediate correction results in cessation of some or all food operations or closure of the facility until violation is able to be corrected. Update Frequency: Daily ",Health and Human Services,January 29 2020,"closures,violations,inspection,food,",https://data.montgomerycountymd.gov/browse?&page=39,39
2015 Food Inspection Violations,https://data.montgomerycountymd.gov/Health-and-Human-Services/2015-Food-Inspection-Violations/vqt3-u4eb,NA,Health and Human Services,May 9 2017,"No tags assigned,",https://data.montgomerycountymd.gov/browse?&page=33,33
2016 Allegation Timeline Chart,https://data.montgomerycountymd.gov/Public-Safety/2016-Allegation-Timeline-Chart/e8pq-u93x, This dataset contains allegations brought to the attention of the Internal Affairs Division either through external complaints or internal complaint or recognition. Any information that can be used to uniquely identify the complainant or the involved employee will not be published. Update Frequency : Weekly. ,Public Safety,January 24 2020,"finding,allegations,internal affair,",https://data.montgomerycountymd.gov/browse?&page=35,35
2016 Cable Complaints,https://data.montgomerycountymd.gov/Government/2016-Cable-Complaints/rppr-prnz, All cable complaints filed with the Montgomery County Cable Office since January 2010. This data will be updated on a quarterly basis. ,Government,January 10 2020,"complaints,cable,",https://data.montgomerycountymd.gov/browse?&page=57,57
2016 Code Enforcement Violations by Descriptions,https://data.montgomerycountymd.gov/Law-Judicial/2016-Code-Enforcement-Violations-by-Descriptions/pwg7-97gv," The Office of the County Attorney (OCA) processes Code Violation Citations issued by County agencies. The citations can be viewed by issued department, issued date and location. ",Law/Judicial,January 4 2020,"litigation,cases,judicial,code enforcement,law,",https://data.montgomerycountymd.gov/browse?&page=50,50
2016 County Map of Property Taxes by Parcel,https://data.montgomerycountymd.gov/Finance-Tax-Property/2016-County-Map-of-Property-Taxes-by-Parcel/tuqf-cska," This data represents all of the County’s residential real estate properties and all of the associated tax charges and credits with that property processed at the annual billing in July of each year, excluding any subsequent billing additions and/or revisions throughout the year. This dataset excludes the names of the property owners. The addresses in this database represent the address of the property. For more information about the individual taxes and credits, please go to http://www.montgomerycountymd.gov/finance/taxes/faqs.html#credit. Update Frequency: Updated Annually in July ",Finance/Tax/Property,August 28 2016,"house,credits,bill,treasury,resident,and 3 more,",https://data.montgomerycountymd.gov/browse?&page=14,14
2016 Early Voting Centers,https://data.montgomerycountymd.gov/Elections/2016-Early-Voting-Centers/hr8w-judx," 2016 early voting locations in Montgomery County as selected April 12th, 2016, subject to approval by the Maryland State Board of Elections. For more information, see www.777vote.org. ",Elections,October 20 2016,"elections,polling,early voting,voting,",https://data.montgomerycountymd.gov/browse?&page=39,39
2016 Early Voting Centers Map,https://data.montgomerycountymd.gov/Elections/2016-Early-Voting-Centers-Map/ybpm-t5tx," 2016 early voting locations in Montgomery County as selected April 12th, 2016, subject to approval by the Maryland State Board of Elections. For more information, see www.777vote.org. ",Elections,October 20 2016,"early voting,polling,voting,",https://data.montgomerycountymd.gov/browse?&page=3,3
2016 Farm Tour,https://data.montgomerycountymd.gov/Community-Recreation/2016-Farm-Tour/pc9u-imet, Tours of participating farms in the County for our farm tour July 23rd and 24th. Check out more information here: http://www.montgomerycountymd.gov/agservices/agfarmtour.html. ,Community/Recreation,August 29 2017,"agriculture,farm,",https://data.montgomerycountymd.gov/browse?&page=61,61
2016 Farm Tour Map,https://data.montgomerycountymd.gov/Community-Recreation/2016-Farm-Tour-Map/n4y2-q8yx, Tours of participating farms in the County for our farm tour July 23rd and 24th. Check out more information here: http://www.montgomerycountymd.gov/agservices/agfarmtour.html. ,Community/Recreation,August 28 2016,"agriculture,farm,",https://data.montgomerycountymd.gov/browse?&page=64,64
2016 Fatal Crash NM,https://data.montgomerycountymd.gov/Public-Safety/2016-Fatal-Crash-NM/yae4-5m32," This dataset provides information on non-motorists (pedestrians and cyclists) involved in traffic collisions occurring on county and local roadways.The reports details of all traffic collisions occurring on county and local roadways within Montgomery County, as collected via the Automated Crash Reporting System (ACRS) of the Maryland State Police, and reported by the Montgomery County Police, Gaithersburg Police, Rockville Police, or the Maryland-National Capital Park Police. This dataset shows each collision data recorded and the non-motorists involved. Please note that these collision reports are based on preliminary information supplied to the Police Department by the reporting parties. Therefore, the collision data available on this web page may reflect:
-Information not yet verified by further investigation
-Information that may include verified and unverified collision data
-Preliminary collision classifications may be changed at a later date based upon further investigation
-Information may include mechanical or human error This dataset can be joined with the other 2 Crash Reporting datasets (see URLs below) by the State Report Number.
* Crash Reporting - Incidents Data at https://data.montgomerycountymd.gov/Public-Safety/Crash-Reporting-Incidents-Data/bhju-22kf
* Crash Reporting - Drivers Data at https://data.montgomerycountymd.gov/Public-Safety/Crash-Reporting-Drivers-Data/mmzv-x632
Update Frequency : Weekly ",Public Safety,January 24 2020,"safety,vision zero,traffic,pedestrian,driver,and 1 more,",https://data.montgomerycountymd.gov/browse?&page=58,58
2016 Inspection Status Timeline Chart,https://data.montgomerycountymd.gov/Consumer-Housing/2016-Inspection-Status-Timeline-Chart/ba7r-dmge," Housing Code Enforcement data from 2013 to the present , including violations identified ",Consumer/Housing,January 26 2020,"No tags assigned,",https://data.montgomerycountymd.gov/browse?&page=66,66
2016 Non Primary Residence Property Tax Map,https://data.montgomerycountymd.gov/Finance-Tax-Property/2016-Non-Primary-Residence-Property-Tax-Map/5tdr-2y2r," This data represents all of the County’s residential real estate properties and all of the associated tax charges and credits with that property processed at the annual billing in July of each year, excluding any subsequent billing additions and/or revisions throughout the year. This dataset excludes the names of the property owners. The addresses in this database represent the address of the property. For more information about the individual taxes and credits, please go to http://www.montgomerycountymd.gov/finance/taxes/faqs.html#credit. Update Frequency: Updated Annually in July ",Finance/Tax/Property,June 21 2017,"house,credits,bill,treasury,resident,and 3 more,",https://data.montgomerycountymd.gov/browse?&page=46,46
2016 # of Violations by Month,https://data.montgomerycountymd.gov/Law-Judicial/2016-of-Violations-by-Month/bu52-uiwh," The Office of the County Attorney (OCA) processes Code Violation Citations issued by County agencies. The citations can be viewed by issued department, issued date and location. ",Law/Judicial,January 4 2020,"litigation,cases,judicial,code enforcement,law,",https://data.montgomerycountymd.gov/browse?&page=64,64
2016 Open Violations,https://data.montgomerycountymd.gov/Law-Judicial/2016-Open-Violations/7psv-bviu," The Office of the County Attorney (OCA) processes Code Violation Citations issued by County agencies. The citations can be viewed by issued department, issued date and location. ",Law/Judicial,January 4 2020,"litigation,cases,judicial,code enforcement,law,",https://data.montgomerycountymd.gov/browse?&page=47,47
2016 Recommended Budget for Cellular Devices by Dept,https://data.montgomerycountymd.gov/Government/2016-Recommended-Budget-for-Cellular-Devices-by-De/7x6n-7yud," This dataset includes the Fiscal Year* 2016 County Executive Recommended operating budget for Montgomery County. The dataset does not include revenues and detailed agency budget information (only includes agency budget information by fund); each agency, such as Montgomery County Public Schools, maintain their individual budget information. *The 12-month period to which the annual operating and capital budgets and their respective appropriations apply. The Montgomery County fiscal year starts on July 1st and ends on June 30th. Update Frequency: Annually ",Government,August 29 2016,"county executive,recommended,fiscal year,operating budget,",https://data.montgomerycountymd.gov/browse?&page=49,49
2016 Spring Basketball Programs,https://data.montgomerycountymd.gov/Community-Recreation/2016-Spring-Basketball-Programs/2wdz-8ad7," List of all programs (Register here: https://apm.activecommunities.com/montgomerycounty/Home) to include Aquatics, Senior and Tiny Tot Activities, Dance, Martial Arts, Music,Arts and Crafts and more. Dates, Times, Age Requirements, and Locations included.
Update Frequency: Annually ",Community/Recreation,March 6 2019,"ping pong,volleyball,swimming,activities,programs,",https://data.montgomerycountymd.gov/browse?&page=63,63
2016 Summer Therapeutic Recreation Programs,https://data.montgomerycountymd.gov/Community-Recreation/2016-Summer-Therapeutic-Recreation-Programs/ypzz-zci2," List of all Camps (Register here:https://apm.activecommunities.com/montgomerycounty/Home) to include Aquatics, Basketball, Soccer, Special Interest, General Sports, Therapeutic and more. Dates, Times, Age Requirements, and Locations included.
Update Frequency: Annually ",Community/Recreation,January 29 2020,"basketball,soccer,running,pools,swimming,and 3 more,",https://data.montgomerycountymd.gov/browse?&page=47,47
2016 Top 10 Violation Condition that were not Closed,https://data.montgomerycountymd.gov/Consumer-Housing/2016-Top-10-Violation-Condition-that-were-not-Clos/f5g4-bazv," Housing Code Enforcement data from 2013 to the present , including violations identified ",Consumer/Housing,January 26 2020,"No tags assigned,",https://data.montgomerycountymd.gov/browse?&page=49,49
2016 Top 10 Violations,https://data.montgomerycountymd.gov/Law-Judicial/2016-Top-10-Violations/uu2j-2ive," The Office of the County Attorney (OCA) processes Code Violation Citations issued by County agencies. The citations can be viewed by issued department, issued date and location. ",Law/Judicial,January 4 2020,"litigation,cases,judicial,code enforcement,law,",https://data.montgomerycountymd.gov/browse?&page=55,55
2017 Clopper East Property Taxes - Rentals,https://data.montgomerycountymd.gov/Finance-Tax-Property/2017-Clopper-East-Property-Taxes-Rentals/7e86-6kfy," This data represents all of the County’s residential real estate properties and all of the associated tax charges and credits with that property processed at the annual billing in July of each year, excluding any subsequent billing additions and/or revisions throughout the year. This dataset excludes the names of the property owners. The addresses in this database represent the address of the property. For more information about the individual taxes and credits, please go to http://www.montgomerycountymd.gov/finance/taxes/faqs.html#credit. Update Frequency: Updated Annually in July ",Finance/Tax/Property,March 6 2018,"house,credits,bill,treasury,resident,and 3 more,",https://data.montgomerycountymd.gov/browse?&page=77,77
2017 Clopper Mill East Property Taxes- Primary Residence,https://data.montgomerycountymd.gov/Finance-Tax-Property/2017-Clopper-Mill-East-Property-Taxes-Primary-Resi/mka8-pfnx," This data represents all of the County’s residential real estate properties and all of the associated tax charges and credits with that property processed at the annual billing in July of each year, excluding any subsequent billing additions and/or revisions throughout the year. This dataset excludes the names of the property owners. The addresses in this database represent the address of the property. For more information about the individual taxes and credits, please go to http://www.montgomerycountymd.gov/finance/taxes/faqs.html#credit. Update Frequency: Updated Annually in July ",Finance/Tax/Property,March 6 2018,"house,credits,bill,treasury,resident,and 3 more,",https://data.montgomerycountymd.gov/browse?&page=74,74
2017 Farm Tour,https://data.montgomerycountymd.gov/Community-Recreation/2017-Farm-Tour/9sya-6up5, Participants in the annual farm tour ,Community/Recreation,May 18 2017,"farm tour,",https://data.montgomerycountymd.gov/browse?&page=73,73
2017 Farm Tour Map,https://data.montgomerycountymd.gov/Community-Recreation/2017-Farm-Tour-Map/9ind-fwuc, Participants in the annual farm tour ,Community/Recreation,June 27 2017,"farm tour,",https://data.montgomerycountymd.gov/browse?&page=68,68
2018 Assault,https://data.montgomerycountymd.gov/Public-Safety/2018-Assault/gxss-cc5i," Updated daily postings on Montgomery County’s open data website, dataMontgomery, provide the public with direct access to crime statistic databases - including raw data and search functions – of reported County crime. The data presented is derived from reported crimes classified according to the National Incident-Based Reporting System (NIBRS) of the Criminal Justice Information Services (CJIS) Division Uniform Crime Reporting (UCR) Program and documented by approved police incident reports. The data is compiled by “EJustice”, a respected law enforcement records-management system used by the Montgomery County Police Department and many other law enforcement agencies. To protect victims’ privacy, no names or other personal information are released. All data is refreshed on a quarterly basis to reflect any changes in status due to on-going police investigation. dataMontgomery allows the public to query the Montgomery County Police Department's database of founded crime. The information contained herein includes all founded crimes reported after July 1st 2016 and entered to-date utilizing Uniform Crime Reporting (UCR) rules. Please note that under UCR rules multiple offenses may appear as part of a single founded reported incident, and each offense may have multiple victims. Please note that these crime reports are based on preliminary information supplied to the Police Department by the reporting parties. Therefore, the crime data available on this web page may reflect: -Information not yet verified by further investigation
-Information that may include attempted and reported crime
-Preliminary crime classifications that may be changed at a later date based upon further investigation
-Information that may include mechanical or human error
-Arrest information [Note: all arrested persons are presumed innocent until proven guilty in a court of law.] Update Frequency: Daily ",Public Safety,January 29 2020,"mdcoordinationcrime,maryland,montgomery,arson,district,and 5 more,",https://data.montgomerycountymd.gov/browse?&page=28,28
2018 Crime Data in Beat 4J1,https://data.montgomerycountymd.gov/Public-Safety/2018-Crime-Data-in-Beat-4J1/3i7z-av3f," Updated daily postings on Montgomery County’s open data website, dataMontgomery, provide the public with direct access to crime statistic databases - including raw data and search functions – of reported County crime. The data presented is derived from reported crimes classified according to the National Incident-Based Reporting System (NIBRS) of the Criminal Justice Information Services (CJIS) Division Uniform Crime Reporting (UCR) Program and documented by approved police incident reports. The data is compiled by “EJustice”, a respected law enforcement records-management system used by the Montgomery County Police Department and many other law enforcement agencies. To protect victims’ privacy, no names or other personal information are released. All data is refreshed on a quarterly basis to reflect any changes in status due to on-going police investigation. dataMontgomery allows the public to query the Montgomery County Police Department's database of founded crime. The information contained herein includes all founded crimes reported after July 1st 2016 and entered to-date utilizing Uniform Crime Reporting (UCR) rules. Please note that under UCR rules multiple offenses may appear as part of a single founded reported incident, and each offense may have multiple victims. Please note that these crime reports are based on preliminary information supplied to the Police Department by the reporting parties. Therefore, the crime data available on this web page may reflect: -Information not yet verified by further investigation
-Information that may include attempted and reported crime
-Preliminary crime classifications that may be changed at a later date based upon further investigation
-Information that may include mechanical or human error
-Arrest information [Note: all arrested persons are presumed innocent until proven guilty in a court of law.] Update Frequency: Daily ",Public Safety,January 29 2020,"mdcoordinationcrime,maryland,montgomery,arson,district,and 5 more,",https://data.montgomerycountymd.gov/browse?&page=64,64
2018 Drugs,https://data.montgomerycountymd.gov/Public-Safety/2018-Drugs/s6j5-psxa," Updated daily postings on Montgomery County’s open data website, dataMontgomery, provide the public with direct access to crime statistic databases - including raw data and search functions – of reported County crime. The data presented is derived from reported crimes classified according to the National Incident-Based Reporting System (NIBRS) of the Criminal Justice Information Services (CJIS) Division Uniform Crime Reporting (UCR) Program and documented by approved police incident reports. The data is compiled by “EJustice”, a respected law enforcement records-management system used by the Montgomery County Police Department and many other law enforcement agencies. To protect victims’ privacy, no names or other personal information are released. All data is refreshed on a quarterly basis to reflect any changes in status due to on-going police investigation. dataMontgomery allows the public to query the Montgomery County Police Department's database of founded crime. The information contained herein includes all founded crimes reported after July 1st 2016 and entered to-date utilizing Uniform Crime Reporting (UCR) rules. Please note that under UCR rules multiple offenses may appear as part of a single founded reported incident, and each offense may have multiple victims. Please note that these crime reports are based on preliminary information supplied to the Police Department by the reporting parties. Therefore, the crime data available on this web page may reflect: -Information not yet verified by further investigation
-Information that may include attempted and reported crime
-Preliminary crime classifications that may be changed at a later date based upon further investigation
-Information that may include mechanical or human error
-Arrest information [Note: all arrested persons are presumed innocent until proven guilty in a court of law.] Update Frequency: Daily ",Public Safety,January 29 2020,"mdcoordinationcrime,maryland,montgomery,arson,district,and 5 more,",https://data.montgomerycountymd.gov/browse?&page=29,29
2018 Early Voting Centers,https://data.montgomerycountymd.gov/Elections/2018-Early-Voting-Centers/ucwu-v65d," 2018 Early Voting locations in Montgomery County, subject to approval by the Maryland State Board of Elections. For more information, see www.777vote.org. ",Elections,June 5 2018,"elections,polling,early voting,voting,",https://data.montgomerycountymd.gov/browse?&page=63,63
2018 Early Voting Centers Map,https://data.montgomerycountymd.gov/Elections/2018-Early-Voting-Centers-Map/vwpv-3yfe," 2018 Early Voting locations in Montgomery County, subject to approval by the Maryland State Board of Elections. For more information, see www.777vote.org. ",Elections,June 5 2018,"No tags assigned,",https://data.montgomerycountymd.gov/browse?&page=74,74
2018 Early Voting Centers Map,https://data.montgomerycountymd.gov/Elections/2018-Early-Voting-Centers-Map/6iid-ntbm," 2018 Early Voting locations in Montgomery County, subject to approval by the Maryland State Board of Elections. For more information, see www.777vote.org. ",Elections,May 11 2018,"elections,polling,early voting,voting,",https://data.montgomerycountymd.gov/browse?&page=74,74
2018 Gender Ratio By Department,https://data.montgomerycountymd.gov/Human-Resources/2018-Gender-Ratio-By-Department/8maj-286h," Annual salary information including gross pay and overtime pay for all active, permanent employees of Montgomery County, MD paid in calendar year 2018. This information will be published annually each year. ",Human Resources,December 5 2019,"No tags assigned,",https://data.montgomerycountymd.gov/browse?&page=76,76
2018 Homicide,https://data.montgomerycountymd.gov/Public-Safety/2018-Homicide/244p-gpe6," Updated daily postings on Montgomery County’s open data website, dataMontgomery, provide the public with direct access to crime statistic databases - including raw data and search functions – of reported County crime. The data presented is derived from reported crimes classified according to the National Incident-Based Reporting System (NIBRS) of the Criminal Justice Information Services (CJIS) Division Uniform Crime Reporting (UCR) Program and documented by approved police incident reports. The data is compiled by “EJustice”, a respected law enforcement records-management system used by the Montgomery County Police Department and many other law enforcement agencies. To protect victims’ privacy, no names or other personal information are released. All data is refreshed on a quarterly basis to reflect any changes in status due to on-going police investigation. dataMontgomery allows the public to query the Montgomery County Police Department's database of founded crime. The information contained herein includes all founded crimes reported after July 1st 2016 and entered to-date utilizing Uniform Crime Reporting (UCR) rules. Please note that under UCR rules multiple offenses may appear as part of a single founded reported incident, and each offense may have multiple victims. Please note that these crime reports are based on preliminary information supplied to the Police Department by the reporting parties. Therefore, the crime data available on this web page may reflect: -Information not yet verified by further investigation
-Information that may include attempted and reported crime
-Preliminary crime classifications that may be changed at a later date based upon further investigation
-Information that may include mechanical or human error
-Arrest information [Note: all arrested persons are presumed innocent until proven guilty in a court of law.] Update Frequency: Daily ",Public Safety,January 29 2020,"mdcoordinationcrime,maryland,montgomery,arson,district,and 5 more,",https://data.montgomerycountymd.gov/browse?&page=56,56
2018 Larceny,https://data.montgomerycountymd.gov/Public-Safety/2018-Larceny/nhkv-qtrn," Updated daily postings on Montgomery County’s open data website, dataMontgomery, provide the public with direct access to crime statistic databases - including raw data and search functions – of reported County crime. The data presented is derived from reported crimes classified according to the National Incident-Based Reporting System (NIBRS) of the Criminal Justice Information Services (CJIS) Division Uniform Crime Reporting (UCR) Program and documented by approved police incident reports. The data is compiled by “EJustice”, a respected law enforcement records-management system used by the Montgomery County Police Department and many other law enforcement agencies. To protect victims’ privacy, no names or other personal information are released. All data is refreshed on a quarterly basis to reflect any changes in status due to on-going police investigation. dataMontgomery allows the public to query the Montgomery County Police Department's database of founded crime. The information contained herein includes all founded crimes reported after July 1st 2016 and entered to-date utilizing Uniform Crime Reporting (UCR) rules. Please note that under UCR rules multiple offenses may appear as part of a single founded reported incident, and each offense may have multiple victims. Please note that these crime reports are based on preliminary information supplied to the Police Department by the reporting parties. Therefore, the crime data available on this web page may reflect: -Information not yet verified by further investigation
-Information that may include attempted and reported crime
-Preliminary crime classifications that may be changed at a later date based upon further investigation
-Information that may include mechanical or human error
-Arrest information [Note: all arrested persons are presumed innocent until proven guilty in a court of law.] Update Frequency: Daily ",Public Safety,January 29 2020,"mdcoordinationcrime,maryland,montgomery,arson,district,and 5 more,",https://data.montgomerycountymd.gov/browse?&page=32,32
2018 Polling Places with Election Precincts,https://data.montgomerycountymd.gov/Elections/2018-Polling-Places-with-Election-Precincts/gtij-bx6r," This dataset contains locations of 2018 Polling Places and Early Voting Centers. To find your polling place, please visit http://gis3.montgomerycountymd.gov/MCGMyPollingPlaceIs/index.html . Please note that the nearest polling place to your home might not be the one assigned to your precinct. ",Elections,May 30 2018,"early,vote,place,polling,election,",https://data.montgomerycountymd.gov/browse?&page=65,65
2018 Rape,https://data.montgomerycountymd.gov/Public-Safety/2018-Rape/a6j9-9qts," Updated daily postings on Montgomery County’s open data website, dataMontgomery, provide the public with direct access to crime statistic databases - including raw data and search functions – of reported County crime. The data presented is derived from reported crimes classified according to the National Incident-Based Reporting System (NIBRS) of the Criminal Justice Information Services (CJIS) Division Uniform Crime Reporting (UCR) Program and documented by approved police incident reports. The data is compiled by “EJustice”, a respected law enforcement records-management system used by the Montgomery County Police Department and many other law enforcement agencies. To protect victims’ privacy, no names or other personal information are released. All data is refreshed on a quarterly basis to reflect any changes in status due to on-going police investigation. dataMontgomery allows the public to query the Montgomery County Police Department's database of founded crime. The information contained herein includes all founded crimes reported after July 1st 2016 and entered to-date utilizing Uniform Crime Reporting (UCR) rules. Please note that under UCR rules multiple offenses may appear as part of a single founded reported incident, and each offense may have multiple victims. Please note that these crime reports are based on preliminary information supplied to the Police Department by the reporting parties. Therefore, the crime data available on this web page may reflect: -Information not yet verified by further investigation
-Information that may include attempted and reported crime
-Preliminary crime classifications that may be changed at a later date based upon further investigation
-Information that may include mechanical or human error
-Arrest information [Note: all arrested persons are presumed innocent until proven guilty in a court of law.] Update Frequency: Daily ",Public Safety,January 29 2020,"mdcoordinationcrime,maryland,montgomery,arson,district,and 5 more,",https://data.montgomerycountymd.gov/browse?&page=45,45
